id,reference,type_message,direction,sender_bic,receiver_bic,sender_name,receiver_name,amount,currency,status,category,translation_errors,created_at,anomaly_score,anomaly_niveau,anomaly_raisons,is_anomaly
1795,SW260506135400003,MT940,OUT,STBKTNTT,BIATTNTT,"STB SOCIETE TUNISIENNE DE BANQUE","BIAT BANQUE INTERNATIONALE ARABE DE TUNISIE",20007.74,TND,pending,9,,"2025-12-15 08:16:44",1,LOW,[],0
1796,SW260506135400004,MT202,OUT,UBCITNTT,UBCITNTT,"UIB UNION INTERNATIONALE DE BANQUES","UIB UNION INTERNATIONALE DE BANQUES",77676.87,GBP,pending,2,,"2025-12-19 11:25:44",1,LOW,[],0
1797,SW260506135400005,MT940,OUT,CITIUS33,ATTIJARX,"CITIBANK NA","ATTIJARI BANK TUNISIE",26441.72,EUR,pending,9,,"2026-01-29 09:11:44",1,LOW,[],0
1798,SW260506135400006,MT103,OUT,BTLMTNTT,CITIUS33,"TUNISAIR SA","HALLIBURTON COMPANY",40126.56,CHF,pending,1,,"2025-12-22 16:23:44",1,LOW,[],0
1799,SW260506135400007,MT940,IN,ATTIJARX,BTLMTNTT,"ATTIJARI BANK TUNISIE","BTL TUNISIAN LIBYAN BANK",45327.59,EUR,pending,9,,"2026-03-15 16:32:44",0,LOW,[],0
1800,SW260506135400008,MT103,IN,BTLMTNTT,CITIUS33,"SOCIETE MEDITERRANEENNE D EXPORT SARL","JOHNSON AND JOHNSON INC",106112.18,EUR,authorized,1,,"2025-12-29 17:47:44",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1801,SW260506135400009,MT940,IN,CITIUS33,HSBCGB2L,"CITIBANK NA","HSBC BANK PLC LONDON",133971.09,TND,pending,9,,"2026-05-04 14:18:44",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1802,SW260506135400010,MT202,OUT,UBCITNTT,UBCITNTT,"UIB UNION INTERNATIONALE DE BANQUES","UIB UNION INTERNATIONALE DE BANQUES",67408.8,GBP,authorized,2,,"2026-03-04 15:02:45",0,LOW,[],0
1803,SW260506135400011,MT940,OUT,SOGEFRPP,UBCITNTT,"SOCIETE GENERALE","UIB UNION INTERNATIONALE DE BANQUES",49025.84,TND,authorized,9,,"2025-12-06 13:35:45",1,LOW,[],0
1804,SW260506135400012,MT103,OUT,BTLMTNTT,SOGEFRPP,"TUNISIE TELECOM SA","AXA SA PARIS",143807.4,GBP,pending,1,,"2026-03-31 10:34:45",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1805,SW260506135400013,MT202,IN,BNPAFRPP,BIATTNTT,"BNP PARIBAS","BIAT BANQUE INTERNATIONALE ARABE DE TUNISIE",83775.05,EUR,pending,2,,"2025-11-27 10:31:45",1,LOW,[],0
1806,SW260506135400014,MT202,IN,SOGEFRPP,BARCGB22,"SOCIETE GENERALE","BARCLAYS BANK PLC",87297.84,CHF,processed,2,,"2026-02-10 12:38:45",1,LOW,[],0
1807,SW260506135400015,MT202,OUT,BNPAFRPP,CITIUS33,"BNP PARIBAS","CITIBANK NA",137201.56,TND,authorized,2,,"2026-01-24 12:34:45",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1808,SW260506135400016,MT940,IN,BNPAFRPP,DEUTDEFF,"BNP PARIBAS","DEUTSCHE BANK AG",112762.31,EUR,authorized,9,,"2025-11-24 10:13:45",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1809,SW260506135400017,MT103,IN,BTLMTNTT,HSBCGB2L,"TPR SA INDUSTRIES PLASTIQUES","UNIVERSITY OF MANCHESTER",38138.45,EUR,processed,1,,"2026-02-24 13:14:45",1,LOW,[],0
1810,SW260506135400018,MT940,IN,HSBCGB2L,BNATNTTX,"HSBC BANK PLC LONDON","BANQUE NATIONALE AGRICOLE",5550.12,TND,processed,9,,"2026-01-14 08:00:45",1,LOW,[],0
1811,SW260506135400019,MT202,IN,UBCITNTT,DEUTDEFF,"UIB UNION INTERNATIONALE DE BANQUES","DEUTSCHE BANK AG",53973.09,CHF,processed,2,,"2026-02-24 09:50:45",1,LOW,[],0
1812,SW260506135400020,MT940,IN,STBKTNTT,DEUTDEFF,"STB SOCIETE TUNISIENNE DE BANQUE","DEUTSCHE BANK AG",117837.67,GBP,processed,9,,"2026-04-27 14:00:45",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1813,SW260506135400021,MT202,OUT,BTLMTNTT,BTLMTNTT,"BTL TUNISIAN LIBYAN BANK","BTL TUNISIAN LIBYAN BANK",103195.61,GBP,pending,2,,"2025-12-07 17:11:45",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1814,SW260506135400022,MT103,IN,BTLMTNTT,CITIUS33,"AHMED SALAH BEN YOUSSEF","SCHLUMBERGER NV",58379.63,USD,processed,1,,"2026-03-16 09:49:45",1,LOW,[],0
1815,SW260506135400023,MT103,IN,BTLMTNTT,DEUTDEFF,"COMPAGNIE DE PHOSPHATE DE GAFSA","VOLKSWAGEN AG WOLFSBURG",85731.79,GBP,pending,1,,"2026-01-18 13:26:45",1,LOW,[],0
1816,SW260506135400024,MT103,OUT,BTLMTNTT,ATLDTNTTXXX,"POULINA GROUP HOLDING SA","MASOUD ATIYA HAMED",36391.08,USD,pending,1,,"2026-03-09 12:57:45",1,LOW,[],0
1817,SW260506135400025,MT103,OUT,BTLMTNTT,SOGEFRPP,"TPR SA INDUSTRIES PLASTIQUES","ENGIE SA",97495.28,CHF,processed,1,,"2026-01-24 17:28:45",1,LOW,[],0
1818,SW260506135400026,MT940,OUT,ATTIJARX,BIATTNTT,"ATTIJARI BANK TUNISIE","BIAT BANQUE INTERNATIONALE ARABE DE TUNISIE",121775.47,USD,pending,9,,"2026-01-23 17:24:46",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1819,SW260506135400027,MT202,OUT,BARCGB22,BNATNTTX,"BARCLAYS BANK PLC","BANQUE NATIONALE AGRICOLE",69005.62,USD,processed,2,,"2026-04-21 11:03:46",1,LOW,[],0
1820,SW260506135400028,MT202,IN,HSBCGB2L,HSBCGB2L,"HSBC BANK PLC LONDON","HSBC BANK PLC LONDON",62230.54,CHF,processed,2,,"2026-03-03 09:21:46",0,LOW,[],0
1821,SW260506135400029,MT940,OUT,BARCGB22,BNPAFRPP,"BARCLAYS BANK PLC","BNP PARIBAS",73603.81,USD,authorized,9,,"2026-03-12 17:33:46",0,LOW,[],0
1822,SW260506135400030,MT202,OUT,HSBCGB2L,BNATNTTX,"HSBC BANK PLC LONDON","BANQUE NATIONALE AGRICOLE",37066.63,GBP,authorized,2,,"2026-05-04 15:20:46",1,LOW,[],0
1823,SW260506135400031,MT940,IN,HSBCGB2L,HSBCGB2L,"HSBC BANK PLC LONDON","HSBC BANK PLC LONDON",17948.61,GBP,pending,9,,"2025-11-17 13:37:46",0,LOW,[],0
1824,SW260506135400032,MT103,IN,BTLMTNTT,BARCGB22,"SOTUVER SA VERRERIES","BARCLAYS WEALTH MANAGEMENT LTD",98717.39,EUR,authorized,1,,"2026-02-13 16:56:46",1,LOW,[],0
1825,SW260506135400033,MT202,OUT,HSBCGB2L,BTLMTNTT,"HSBC BANK PLC LONDON","BTL TUNISIAN LIBYAN BANK",139180.76,USD,authorized,2,,"2026-01-23 15:12:46",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1826,SW260506135400034,MT940,IN,UBCITNTT,STBKTNTT,"UIB UNION INTERNATIONALE DE BANQUES","STB SOCIETE TUNISIENNE DE BANQUE",122299.81,GBP,authorized,9,,"2026-03-11 13:32:46",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1827,SW260506135400035,MT103,IN,BTLMTNTT,HSBCGB2L,"TUNISIE TELECOM SA","UNIVERSITY COLLEGE LONDON",80397.63,TND,pending,1,,"2025-11-14 15:03:46",1,LOW,[],0
1828,SW260506135400036,MT940,OUT,STBKTNTT,ATTIJARX,"STB SOCIETE TUNISIENNE DE BANQUE","ATTIJARI BANK TUNISIE",5936.38,USD,pending,9,,"2026-04-23 08:28:46",1,LOW,[],0
1829,SW260506135400037,MT103,OUT,BTLMTNTT,CITIUS33,"TUNISAIR SA","GENERAL ELECTRIC COMPANY",14431.67,GBP,pending,1,,"2026-03-08 10:27:46",0,LOW,[],0
1830,SW260506135400038,MT202,OUT,CITIUS33,BTLMTNTT,"CITIBANK NA","BTL TUNISIAN LIBYAN BANK",113974.11,CHF,pending,2,,"2026-02-12 16:37:46",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1831,SW260506135400039,MT202,IN,BNATNTTX,STBKTNTT,"BANQUE NATIONALE AGRICOLE","STB SOCIETE TUNISIENNE DE BANQUE",130892.61,EUR,pending,2,,"2026-03-27 10:37:46",24,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1832,SW260506135400040,MT940,IN,BIATTNTT,BNATNTTX,"BIAT BANQUE INTERNATIONALE ARABE DE TUNISIE","BANQUE NATIONALE AGRICOLE",123054.73,TND,pending,9,,"2025-11-10 08:43:46",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1833,SW260506135400041,MT940,OUT,BNPAFRPP,BARCGB22,"BNP PARIBAS","BARCLAYS BANK PLC",75689.48,USD,authorized,9,,"2026-04-22 17:31:46",0,LOW,[],0
1834,SW260506135400042,MT202,OUT,ATTIJARX,CITIUS33,"ATTIJARI BANK TUNISIE","CITIBANK NA",29630.28,CHF,processed,2,,"2025-11-07 14:02:46",1,LOW,[],0
1835,SW260506135400043,MT103,IN,LAFBLYLTXXX,ATLDTNTTXXX,"LIBYAN IRON AND STEEL COMPANY","MASOUD ATIYA HAMED",129112.03,TND,processed,1,,"2026-03-28 14:06:47",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1836,SW260506135400044,MT940,OUT,DEUTDEFF,BTLMTNTT,"DEUTSCHE BANK AG","BTL TUNISIAN LIBYAN BANK",102989.66,CHF,pending,9,,"2026-02-02 14:35:47",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1837,SW260506135400045,MT940,IN,BARCGB22,BNATNTTX,"BARCLAYS BANK PLC","BANQUE NATIONALE AGRICOLE",123967.08,USD,processed,9,,"2026-05-01 10:24:47",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1838,SW260506135400046,MT202,IN,BTLMTNTT,STBKTNTT,"BTL TUNISIAN LIBYAN BANK","STB SOCIETE TUNISIENNE DE BANQUE",135889.27,EUR,authorized,2,,"2026-02-05 12:03:47",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1839,SW260506135400047,MT940,IN,BIATTNTT,DEUTDEFF,"BIAT BANQUE INTERNATIONALE ARABE DE TUNISIE","DEUTSCHE BANK AG",139306.48,CHF,processed,9,,"2026-01-29 14:06:47",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1840,SW260506135400048,MT103,IN,BTLMTNTT,ATLDTNTTXXX,"AHMED SALAH BEN YOUSSEF","FATHI ABDELHAMID SALEH",97915.79,GBP,pending,1,,"2026-04-25 16:50:47",1,LOW,[],0
1841,SW260506135400049,MT940,IN,BTLMTNTT,BNATNTTX,"BTL TUNISIAN LIBYAN BANK","BANQUE NATIONALE AGRICOLE",118271.35,GBP,pending,9,,"2025-12-06 15:41:47",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1842,SW260506135400050,MT103,IN,BTLMTNTT,HSBCGB2L,"SOTUVER SA VERRERIES","KINGS COLLEGE LONDON",1044.97,TND,authorized,1,,"2026-04-12 12:44:47",1,LOW,[],0
1843,SW260506135400051,MT103,OUT,BTLMTNTT,SOGEFRPP,"KARIM MANSOURI","AXA SA PARIS",145055.84,GBP,authorized,1,,"2025-11-11 09:54:47",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1844,SW260506135400052,MT103,IN,BTLMTNTT,DEUTDEFF,"ENNAKL AUTOMOBILES SA","VOLKSWAGEN AG WOLFSBURG",126979.18,TND,pending,1,,"2026-01-30 10:52:47",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1845,SW260506135400053,MT202,IN,UBCITNTT,BIATTNTT,"UIB UNION INTERNATIONALE DE BANQUES","BIAT BANQUE INTERNATIONALE ARABE DE TUNISIE",149003.86,EUR,processed,2,,"2025-12-14 17:08:47",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1846,SW260506135400054,MT103,OUT,BTLMTNTT,ATLDTNTTXXX,"BTL INTERNATIONAL TRADE FINANCE","NADIA OMAR BENSAOUD",23893.65,GBP,processed,1,,"2025-11-18 17:43:47",0,LOW,[],0
1847,SW260506135400055,MT103,IN,LAFBLYLTXXX,CITIUS33,"LIBYAN IRON AND STEEL COMPANY","JOHNSON AND JOHNSON INC",89250.72,GBP,authorized,1,,"2026-01-08 12:41:47",1,LOW,[],0
1848,SW260506135400056,MT202,IN,SOGEFRPP,BNPAFRPP,"SOCIETE GENERALE","BNP PARIBAS",38032.29,CHF,pending,2,,"2025-11-11 11:59:47",0,LOW,[],0
1849,SW260506135400057,MT202,OUT,SOGEFRPP,DEUTDEFF,"SOCIETE GENERALE","DEUTSCHE BANK AG",85309.04,EUR,processed,2,,"2026-02-11 14:12:47",1,LOW,[],0
1850,SW260506135400058,MT103,IN,BTLMTNTT,BNPAFRPP,"KARIM MANSOURI","COMPAGNIE SAINT GOBAIN",9220.9,GBP,processed,1,,"2026-03-21 09:30:48",1,LOW,[],0
1851,SW260506135400059,MT940,OUT,SOGEFRPP,BNPAFRPP,"SOCIETE GENERALE","BNP PARIBAS",131232.03,GBP,pending,9,,"2025-11-17 08:40:48",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1852,SW260506135400060,MT202,IN,BNPAFRPP,ATTIJARX,"BNP PARIBAS","ATTIJARI BANK TUNISIE",19631.39,EUR,processed,2,,"2025-12-17 16:15:48",0,LOW,[],0
1853,SW260506135400061,MT103,OUT,BTLMTNTT,BNPAFRPP,"POULINA GROUP HOLDING SA","SCHNEIDER ELECTRIC SE",30134.81,USD,processed,1,,"2025-12-22 15:34:48",1,LOW,[],0
1854,SW260506135400062,MT940,IN,HSBCGB2L,BIATTNTT,"HSBC BANK PLC LONDON","BIAT BANQUE INTERNATIONALE ARABE DE TUNISIE",54067.89,EUR,authorized,9,,"2026-01-31 08:40:48",1,LOW,[],0
1855,SW260506135400063,MT103,IN,BTLMTNTT,DEUTDEFF,"TUNISAIR SA","BASF SE LUDWIGSHAFEN",67332.49,TND,authorized,1,,"2026-01-10 15:10:48",1,LOW,[],0
1856,SW260506135400064,MT940,IN,BNATNTTX,STBKTNTT,"BANQUE NATIONALE AGRICOLE","STB SOCIETE TUNISIENNE DE BANQUE",115003.97,CHF,processed,9,,"2026-03-05 11:18:48",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1857,SW260506135400065,MT940,OUT,DEUTDEFF,UBCITNTT,"DEUTSCHE BANK AG","UIB UNION INTERNATIONALE DE BANQUES",140654.08,TND,pending,9,,"2026-02-10 12:21:48",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1858,SW260506135400066,MT103,OUT,LAFBLYLTXXX,ATLDTNTTXXX,"GENERAL ELECTRICITY COMPANY OF LIBYA","MASOUD ATIYA HAMED",20313.7,GBP,processed,1,,"2026-02-05 14:22:48",0,LOW,[],0
1859,SW260506135400067,MT940,OUT,CITIUS33,ATTIJARX,"CITIBANK NA","ATTIJARI BANK TUNISIE",145729.67,EUR,authorized,9,,"2026-04-16 16:02:48",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1860,SW260506135400068,MT940,IN,BIATTNTT,BNATNTTX,"BIAT BANQUE INTERNATIONALE ARABE DE TUNISIE","BANQUE NATIONALE AGRICOLE",134247.61,TND,authorized,9,,"2026-03-25 12:24:48",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1861,SW260506135400069,MT202,OUT,ATTIJARX,BIATTNTT,"ATTIJARI BANK TUNISIE","BIAT BANQUE INTERNATIONALE ARABE DE TUNISIE",99484.76,USD,pending,2,,"2026-01-17 16:21:48",1,LOW,[],0
1862,SW260506135400070,MT940,OUT,BARCGB22,BARCGB22,"BARCLAYS BANK PLC","BARCLAYS BANK PLC",9800.14,USD,processed,9,,"2025-11-12 14:55:48",1,LOW,[],0
1863,SW260506135400071,MT103,OUT,BTLMTNTT,DEUTDEFF,"SOTUVER SA VERRERIES","CONTINENTAL AG",7676942.49,USD,pending,1,,"2026-04-19 12:05:48",26,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1864,SW260506135400072,MT103,OUT,BTLMTNTT,HSBCGB2L,"BTL INTERNATIONAL TRADE FINANCE","IMPERIAL COLLEGE LONDON",5078187.75,USD,pending,1,,"2026-05-03 09:45:48",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1865,SW260506135400073,MT103,OUT,BTLMTNTT,SOGEFRPP,"SOCIETE CHIMIQUE MAGHREB INDUSTRIES","CREDIT AGRICOLE CORPORATE SA",1144126.59,USD,pending,1,,"2026-04-30 10:12:48",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1866,SW260506135400074,MT103,OUT,BTLMTNTT,BNPAFRPP,"AHMED SALAH BEN YOUSSEF","AIRBUS SAS TOULOUSE",6062260.57,USD,pending,1,,"2026-04-18 10:57:49",26,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1867,SW260506135400075,MT103,OUT,BTLMTNTT,DEUTDEFF,"SFBT SOCIETE FRIGORIFIQUE ET BRASSERIE DE TUNIS","BASF SE LUDWIGSHAFEN",2470206.51,USD,pending,1,,"2026-04-25 11:49:49",26,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1868,SW260506135400076,MT103,OUT,LAFBLYLTXXX,CITIUS33,"NATIONAL OIL CORPORATION","GENERAL ELECTRIC COMPANY",6549365.64,USD,pending,1,,"2026-05-05 12:14:49",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1869,SW260506135400077,MT103,IN,BTLMTNTT,HSBCGB2L,"STEG SOCIETE TUNISIENNE ELECTRICITE GAZ","LONDON BUSINESS SCHOOL",284916.78,AED,pending,1,,"2026-04-24 16:59:49",45,MEDIUM,"[""MONTANT_ELEVE"",""DEVISE_INHABITUELLE"",""ML_CLASSIFIER""]",1
1870,SW260506135400078,MT103,IN,BTLMTNTT,DEUTDEFF,"ENNAKL AUTOMOBILES SA","BMW GROUP GMBH",268224.73,RUB,pending,1,,"2026-04-26 10:06:49",45,MEDIUM,"[""MONTANT_ELEVE"",""DEVISE_INHABITUELLE"",""ML_CLASSIFIER""]",1
1871,SW260506135400079,MT103,IN,BTLMTNTT,HSBCGB2L,"TPR SA INDUSTRIES PLASTIQUES","UNIVERSITY COLLEGE LONDON",298023.65,AED,pending,1,,"2026-04-24 10:10:49",45,MEDIUM,"[""MONTANT_ELEVE"",""DEVISE_INHABITUELLE"",""ML_CLASSIFIER""]",1
1872,SW260506135400080,MT103,IN,BTLMTNTT,BNPAFRPP,"COMPAGNIE DE PHOSPHATE DE GAFSA","BOUYGUES CONSTRUCTION SA",100345.05,RUB,pending,1,,"2026-04-28 16:24:49",45,MEDIUM,"[""MONTANT_ELEVE"",""DEVISE_INHABITUELLE"",""ML_CLASSIFIER""]",1
1873,SW260506135400081,MT103,IN,BTLMTNTT,BNPAFRPP,"MEHDI RACHID BEN ROMDHANE","RENAULT FRANCE SA",417166.46,AED,pending,1,,"2026-05-02 15:28:49",45,MEDIUM,"[""MONTANT_ELEVE"",""DEVISE_INHABITUELLE"",""ML_CLASSIFIER""]",1
1874,SW260506135400082,MT202,OUT,BARCGB22,SHELBHBB,"BARCLAYS BANK PLC","BELIZE SHELL BANK",376004.94,USD,pending,2,,"2026-04-20 15:17:49",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1875,SW260506135400083,MT202,OUT,DEUTDEFF,PRVBKXXL,"DEUTSCHE BANK AG","PRIVATE BANK XL",798990.95,USD,pending,2,,"2026-04-22 13:53:49",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1876,SW260506135400084,MT202,OUT,DEUTDEFF,PRVBKXXL,"DEUTSCHE BANK AG","PRIVATE BANK XL",576771.68,USD,pending,2,,"2026-04-12 14:50:49",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1877,SW260506135400085,MT202,OUT,CITIUS33,SHELBHBB,"CITIBANK NA","BELIZE SHELL BANK",215877.39,USD,pending,2,,"2026-04-22 16:57:49",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1878,SW260506135400086,MT202,OUT,BARCGB22,PRVBKXXL,"BARCLAYS BANK PLC","PRIVATE BANK XL",142659.89,USD,pending,2,,"2026-04-08 11:41:49",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1879,SW260506135400087,MT103,OUT,BTLMTNTT,DEUTDEFF,"SOCIETE MEDITERRANEENNE D EXPORT SARL","VOLKSWAGEN AG WOLFSBURG",185088.64,EUR,pending,1,,"2026-04-18 04:47:49",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1880,SW260506135400088,MT103,OUT,BTLMTNTT,CITIUS33,"TPR SA INDUSTRIES PLASTIQUES","GENERAL ELECTRIC COMPANY",257536.54,EUR,pending,1,,"2026-04-13 04:11:49",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1881,SW260506135400089,MT103,OUT,BTLMTNTT,ATLDTNTTXXX,"CARTHAGE CEMENT SA","FATHI ABDELHAMID SALEH",170202.26,EUR,pending,1,,"2026-04-22 01:34:49",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1882,SW260506135400090,MT103,OUT,BTLMTNTT,BNPAFRPP,"STEG SOCIETE TUNISIENNE ELECTRICITE GAZ","AIRBUS SAS TOULOUSE",30669.89,EUR,pending,1,,"2026-04-01 03:09:50",1,LOW,[],0
1883,SW260506135400091,MT103,OUT,BTLMTNTT,ATLDTNTTXXX,"LEILA CHAABANE TRABELSI","NADIA OMAR BENSAOUD",114963.41,EUR,pending,1,,"2026-05-02 00:01:50",26,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1884,SW260506135400092,MT103,IN,BTLMTNTT,BNPAFRPP,"MAGASIN GENERAL SA","TOTAL ENERGIES SE",0,EUR,pending,1,,"2026-04-26 10:22:50",40,MEDIUM,"[""MONTANT_ZERO"",""ML_CLASSIFIER""]",1
1885,SW260506135400093,MT103,IN,BTLMTNTT,HSBCGB2L,"LEILA CHAABANE TRABELSI","LOUGHBOROUGH UNIVERSITY",0,EUR,pending,1,,"2026-04-29 11:41:50",40,MEDIUM,"[""MONTANT_ZERO"",""ML_CLASSIFIER""]",1
1886,SW260506135400094,MT103,IN,BTLMTNTT,BNPAFRPP,"SOCIETE MEDITERRANEENNE D EXPORT SARL","COMPAGNIE SAINT GOBAIN",0,EUR,pending,1,,"2026-04-26 11:43:50",40,MEDIUM,"[""MONTANT_ZERO"",""ML_CLASSIFIER""]",1
1887,SW260506135400095,MT103,IN,BTLMTNTT,BNPAFRPP,"COMPAGNIE DE PHOSPHATE DE GAFSA","COMPAGNIE SAINT GOBAIN",0,EUR,pending,1,,"2026-05-01 13:23:50",40,MEDIUM,"[""MONTANT_ZERO"",""ML_CLASSIFIER""]",1
1888,SW260506135400096,MT103,OUT,BTLMTNTT,BTLMTNTT,"MEHDI RACHID BEN ROMDHANE","MEHDI RACHID BEN ROMDHANE",87986.14,EUR,pending,1,,"2026-05-01 14:25:50",1,LOW,[],0
1889,SW260506135400097,MT103,OUT,BTLMTNTT,BTLMTNTT,"ENNAKL AUTOMOBILES SA","ENNAKL AUTOMOBILES SA",7492.31,EUR,pending,1,,"2026-04-26 10:01:50",0,LOW,[],0
